T,Mw,Rjb (km),FRV,FNM,ZTOR,?,Vs_30,Z2.5 (km),Ln(Sa)
0.01,5.99,1.67,0,0,14.5,30,550,2.892,5.949951759
0.01,5.99,8.72,0,0,14.5,30,370.789,0.32,5.375471472
0.01,5.99,25.81,0,0,14.5,30,234.8825426,3.091,4.079085701
0.01,5.99,4.53,0,0,14.5,30,367.53,2.04,5.568560099
0.01,5.99,32.56,0,0,14.5,30,297.71,3.182,4.521383883
0.01,5.99,4.34,0,0,14.5,30,308.6450892,2.84,4.615322843
0.01,5.99,10.31,0,0,14.5,30,308.6450892,5.031,5.528908345
0.01,5.99,25.91,0,0,14.5,30,545.66,0.32,4.712214649
0.01,5.99,29.09,0,0,14.5,30,355.81,1.04,4.672678692
0.01,5.99,22.5,0,0,14.5,30,445.983055,0.32,5.004092255
0.01,5.99,19.11,0,0,14.5,30,370.789,3.292,5.431134344
0.01,5.99,19.12,0,0,14.5,30,370.789,3.292,4.869819538
0.01,5.99,20.37,0,0,14.5,30,271.441,1,5.250688775
0.01,5.99,52.76,0,0,14.5,30,338.539,2.71,3.588775583
0.01,5.99,45.98,0,0,14.5,30,267.49,2.834,4.941463592
0.01,5.99,44.88,0,0,14.5,30,308.6450892,1.76,4.63392002
0.01,5.99,22.57,0,0,14.5,30,235,3.220357143,5.326290043
0.01,5.99,29.85,0,0,14.5,30,361.167702,4.245,3.940039562
0.01,5.99,26.3,0,0,14.5,30,160.58,3.347,4.794423289
0.01,5.99,62.56,0,0,14.5,30,438.339,2.417221,3.630789732
0.01,5.99,70.04,0,0,14.5,30,450.28,1.52,4.181178793
0.01,5.99,18.32,0,0,14.5,30,308.6450892,5.759,5.791940209
0.01,5.99,13.58,0,0,14.5,30,405.1888981,1.64,4.264916576
0.01,5.99,9.49,0,0,14.5,30,271.441,2.44,4.675352638
0.01,5.99,14.9,0,0,14.5,30,245.06,5.606,5.68627159
0.01,5.99,14.95,0,0,14.5,30,271.9,6.091,5.163134296
0.01,5.99,0.75,0,0,14.5,30,308.6450892,3.04,5.238119826
0.01,5.99,35.04,0,0,14.5,30,308.6450892,2.417221,4.452191139
0.01,5.99,36.69,0,0,14.5,30,270.19,3.014,4.204257291
0.01,5.99,0.36,0,0,14.5,30,468.18,2.845,5.933717599
0.01,5.99,14.68,0,0,14.5,30,445.983055,0.32,5.44401743
0.01,5.99,13.67,0,0,14.5,30,445.983055,1.2,4.568769486
0.01,5.99,9.6,0,0,14.5,30,337,2.884,5.247127751
0.01,5.99,102.89,0,0,14.5,30,338.539,2.417221,3.614465598
0.01,5.99,42.16,0,0,14.5,30,370.789,2.417221,3.823761025
0.01,5.99,21.41,0,0,14.5,30,316.02,3.549,5.554487173
0.01,5.99,18.23,0,0,14.5,30,301,4.852,5.815896887
0.01,5.99,21.51,0,0,14.5,30,297.07,3.35,4.994401455
0.01,5.99,28,0,0,14.5,30,234.8825426,2.804,3.950486259
0.01,5.99,26.14,0,0,14.5,30,277.98,3.267,4.446358105
0.01,5.99,25.95,0,0,14.5,30,277.98,3.28,4.096667168
0.01,5.99,32.11,0,0,14.5,30,740.05,0.32,3.410371996
0.01,5.99,8.56,0,0,14.5,30,445.983055,2.45,4.913404443
0.01,5.99,11.07,0,0,14.5,30,445.983055,0.76,5.230805277
0.01,5.99,19.22,0,0,14.5,30,316.46,2.169,5.106291923
0.01,5.99,27.94,0,0,14.5,30,255,0.32,3.935632207
0.01,5.99,6,0,0,14.5,30,405.1888981,1.939,4.997898322
0.01,5.99,15.34,0,0,14.5,30,315.06,2.574,5.302748529
0.01,5.99,4.5,0,0,14.5,30,349.43,3.278,6.033322733
0.01,5.99,14.46,0,0,14.5,30,308.6450892,4.659,5.224773394
0.01,5.99,20.35,0,0,14.5,30,308.71,3.317,4.808914895
0.01,5.99,16.77,0,0,14.5,30,294.247,5.345,5.045125934
0.01,5.99,23.4,0,0,14.5,30,1222.52,0.0368,3.722685116
0.01,5.99,34.1,0,0,14.5,30,229.787,3.969,4.079691634
0.01,5.99,19.8,0,0,14.5,30,270.19,5.602,5.363034422
0.01,5.99,24.61,0,0,14.5,30,405.1888981,3.583,5.227935985
0.01,5.99,30.4,0,0,14.5,30,370.789,3.508,3.913275554
0.01,5.99,19.28,0,0,14.5,30,445.983055,0.32,5.030718059
0.01,5.99,14.17,0,0,14.5,30,361.167702,3.253,5.0290886
0.01,5.99,10.24,0,0,14.5,30,308.6450892,2.36,4.860439812
0.01,5.99,69.59,0,0,14.5,30,425.34,2.417221,3.538955346
0.01,5.99,22.4,0,0,14.5,30,234.8825426,5.396,5.442094879
0.01,5.99,65.32,0,0,14.5,30,271.441,2.417221,4.142980347
0.01,5.99,26.31,0,0,14.5,30,361.167702,4.234,4.087083067
0.01,5.99,56.48,0,0,14.5,30,445.983055,2.417221,3.872568497
0.01,5.99,56.97,0,0,14.5,30,327.44,2.417221,3.823658582
0.01,5.99,46.43,0,0,14.5,30,622.859,2.417221,4.010542863
0.01,5.99,61.54,0,0,14.5,30,349.54,2.417221,3.737504805
0.01,5.99,60.35,0,0,14.5,30,376.073,2.417221,3.638937382
0.01,5.99,32.36,0,0,14.5,30,684.935,2.417221,4.378729344
0.01,5.99,72.62,0,0,14.5,30,405.1888981,2.458,3.700600648
0.01,5.99,14.5,0,0,14.5,30,821.6894831,2.417221,5.092202378
0.01,5.99,28.37,0,0,14.5,30,445.983055,2.596,5.132726317
0.01,5.99,49.18,0,0,14.5,30,269.14,2.417221,4.126829509
0.01,5.99,55.93,0,0,14.5,30,285.93,3.344,4.239053538
0.01,5.99,38.04,0,0,14.5,30,280.86,3.174,4.967644637
0.01,5.99,14.37,0,0,14.5,30,270.19,4.218,5.12092397
0.01,5.99,17.65,0,0,14.5,30,376.073,3.396,5.259370519
0.01,5.99,38.7,0,0,14.5,30,445.983055,0.366476868,3.868820202
0.01,5.99,31.59,0,0,14.5,30,508.08,1.295,5.036368477
0.01,5.99,31.8,0,0,14.5,30,271.441,2.483,4.889803581
0.01,5.99,32.13,0,0,14.5,30,271.441,2.417221,4.665306736
0.01,5.99,4.3,0,0,14.5,30,370.789,2.417221,5.002286903
0.01,5.99,4.3,0,0,14.5,30,370.789,2.417221,5.403729882
0.01,5.99,4.3,0,0,14.5,30,370.789,2.417221,5.467496159
0.01,5.99,4.3,0,0,14.5,30,370.789,2.417221,5.786063589
0.01,5.99,8.03,0,0,14.5,30,455.3753976,1.198,5.565444429
0.01,5.99,29.42,0,0,14.5,30,405.1888981,1.99,3.443426639
0.01,5.99,25.11,0,0,14.5,30,229.787,0.96,4.126281414
0.01,5.99,40.96,0,0,14.5,30,390.18,1.16,4.001032668
0.01,5.99,39.7,0,0,14.5,30,508.83,2.417221,2.996678499
0.01,5.99,54.58,0,0,14.5,30,370.789,0.76,3.875634412
0.01,5.99,81.74,0,0,14.5,30,271.441,2.417221,4.15558484
0.01,5.99,0,0,0,14.5,30,401.37,2.467,5.469254782
0.01,5.99,1.57,0,0,14.5,30,379.43,2.073,5.104066619
0.01,5.99,11.47,0,0,14.5,30,308.6450892,4.326,6.060480316
0.01,5.99,32.8,0,0,14.5,30,370.789,2.476,3.615447133
0.01,5.99,26.91,0,0,14.5,30,294.247,1,5.308023222
0.01,5.99,30.33,0,0,14.5,30,308.6450892,2.298,5.261199674
0.01,5.99,26.71,0,0,14.5,30,271.441,1.348,4.398261995
