T,Mw,Rrup (km),FRV,FNM,ZTOR,?,Vs_30,Z2.5 (km),Ln(Sa)
0.01,5.99,48.96,0,0,14.5,30,267.49,2.834,4.941463592
0.01,5.99,48.18,0,0,14.5,30,308.6450892,1.76,4.63392002
0.01,5.99,26.82,0,0,14.5,30,235,3.220357143,5.326290043
0.01,5.99,33.19,0,0,14.5,30,361.167702,4.245,3.940039562
0.01,5.99,30.03,0,0,14.5,30,160.58,3.347,4.794423289
0.01,5.99,64.96,0,0,14.5,30,438.339,2.417221,3.630789732
0.01,5.99,72.19,0,0,14.5,30,450.28,1.52,4.181178793
0.01,5.99,23.37,0,0,14.5,30,308.6450892,5.759,5.791940209
0.01,5.99,20.91,0,0,14.5,30,405.1888981,1.64,4.264916576
0.01,5.99,18.59,0,0,14.5,30,271.441,2.44,4.675352638
0.01,5.99,20.79,0,0,14.5,30,245.06,5.606,5.68627159
0.01,5.99,20.82,0,0,14.5,30,271.9,6.091,5.163134296
0.01,5.99,15.67,0,0,14.5,30,308.6450892,3.04,5.238119826
0.01,5.99,37.92,0,0,14.5,30,308.6450892,2.417221,4.452191139
0.01,5.99,39.45,0,0,14.5,30,270.19,3.014,4.204257291
0.01,5.99,14.5,0,0,14.5,30,468.18,2.845,5.933717599
0.01,5.99,22.82,0,0,14.5,30,445.983055,0.32,5.44401743
0.01,5.99,22.11,0,0,14.5,30,445.983055,1.2,4.568769486
0.01,5.99,17.39,0,0,14.5,30,337,2.884,5.247127751
0.01,5.99,103.9,0,0,14.5,30,338.539,2.417221,3.614465598
0.01,5.99,44.58,0,0,14.5,30,370.789,2.417221,3.823761025
0.01,5.99,25.86,0,0,14.5,30,316.02,3.549,5.554487173
0.01,5.99,23.29,0,0,14.5,30,301,4.852,5.815896887
0.01,5.99,25.94,0,0,14.5,30,297.07,3.35,4.994401455
0.01,5.99,31.53,0,0,14.5,30,234.8825426,2.804,3.950486259
0.01,5.99,29.89,0,0,14.5,30,277.98,3.267,4.446358105
0.01,5.99,29.73,0,0,14.5,30,277.98,3.28,4.096667168
0.01,5.99,35.23,0,0,14.5,30,740.05,0.32,3.410371996
0.01,5.99,16.97,0,0,14.5,30,445.983055,2.45,4.913404443
0.01,5.99,18.86,0,0,14.5,30,445.983055,0.76,5.230805277
0.01,5.99,24.08,0,0,14.5,30,316.46,2.169,5.106291923
0.01,5.99,31.47,0,0,14.5,30,255,0.32,3.935632207
0.01,5.99,16.53,0,0,14.5,30,405.1888981,1.939,4.997898322
0.01,5.99,21.11,0,0,14.5,30,315.06,2.574,5.302748529
0.01,5.99,15.18,0,0,14.5,30,349.43,3.278,6.033322733
0.01,5.99,20.48,0,0,14.5,30,308.6450892,4.659,5.224773394
0.01,5.99,24.99,0,0,14.5,30,308.71,3.317,4.808914895
0.01,5.99,22.17,0,0,14.5,30,294.247,5.345,5.045125934
0.01,5.99,27.64,0,0,14.5,30,1222.52,0.0368,3.722685116
0.01,5.99,37.05,0,0,14.5,30,229.787,3.969,4.079691634
0.01,5.99,24.54,0,0,14.5,30,270.19,5.602,5.363034422
0.01,5.99,28.56,0,0,14.5,30,405.1888981,3.583,5.227935985
0.01,5.99,33.68,0,0,14.5,30,370.789,3.508,3.913275554
0.01,5.99,26.04,0,0,14.5,30,445.983055,0.32,5.030718059
0.01,5.99,20.28,0,0,14.5,30,361.167702,3.253,5.0290886
0.01,5.99,17.75,0,0,14.5,30,308.6450892,2.36,4.860439812
0.01,5.99,71.75,0,0,14.5,30,425.34,2.417221,3.538955346
0.01,5.99,26.68,0,0,14.5,30,234.8825426,5.396,5.442094879
0.01,5.99,67.62,0,0,14.5,30,271.441,2.417221,4.142980347
0.01,5.99,30.04,0,0,14.5,30,361.167702,4.234,4.087083067
0.01,5.99,59.13,0,0,14.5,30,445.983055,2.417221,3.872568497
0.01,5.99,59.6,0,0,14.5,30,327.44,2.417221,3.823658582
0.01,5.99,48.64,0,0,14.5,30,622.859,2.417221,4.010542863
0.01,5.99,63.23,0,0,14.5,30,349.54,2.417221,3.737504805
0.01,5.99,62.07,0,0,14.5,30,376.073,2.417221,3.638937382
0.01,5.99,36.79,0,0,14.5,30,684.935,2.417221,4.378729344
0.01,5.99,74.69,0,0,14.5,30,405.1888981,2.458,3.700600648
0.01,5.99,22.73,0,0,14.5,30,821.6894831,2.417221,5.092202378
0.01,5.99,33.11,0,0,14.5,30,445.983055,2.596,5.132726317
0.01,5.99,52.2,0,0,14.5,30,269.14,2.417221,4.126829509
0.01,5.99,58.61,0,0,14.5,30,285.93,3.344,4.239053538
0.01,5.99,41.69,0,0,14.5,30,280.86,3.174,4.967644637
0.01,5.99,20.42,0,0,14.5,30,270.19,4.218,5.12092397
0.01,5.99,22.84,0,0,14.5,30,376.073,3.396,5.259370519
0.01,5.99,41.32,0,0,14.5,30,445.983055,0.366476868,3.868820202
0.01,5.99,36.11,0,0,14.5,30,508.08,1.295,5.036368477
0.01,5.99,36.29,0,0,14.5,30,271.441,2.483,4.889803581
0.01,5.99,36.55,0,0,14.5,30,271.441,2.417221,4.665306736
0.01,5.99,17.3,0,0,14.5,30,370.789,2.417221,5.002286903
0.01,5.99,17.3,0,0,14.5,30,370.789,2.417221,5.403729882
0.01,5.99,17.3,0,0,14.5,30,370.789,2.417221,5.467496159
0.01,5.99,17.3,0,0,14.5,30,370.789,2.417221,5.786063589
0.01,5.99,19.17,0,0,14.5,30,455.3753976,1.198,5.565444429
0.01,5.99,32.8,0,0,14.5,30,405.1888981,1.99,3.443426639
0.01,5.99,29.65,0,0,14.5,30,229.787,0.96,4.126281414
0.01,5.99,44.54,0,0,14.5,30,390.18,1.16,4.001032668
0.01,5.99,42.26,0,0,14.5,30,508.83,2.417221,2.996678499
0.01,5.99,56.48,0,0,14.5,30,370.789,0.76,3.875634412
0.01,5.99,83.59,0,0,14.5,30,271.441,2.417221,4.15558484
0.01,5.99,15.2,0,0,14.5,30,401.37,2.467,5.469254782
0.01,5.99,15.94,0,0,14.5,30,379.43,2.073,5.104066619
0.01,5.99,18.49,0,0,14.5,30,308.6450892,4.326,6.060480316
0.01,5.99,35.86,0,0,14.5,30,370.789,2.476,3.615447133
0.01,5.99,31.06,0,0,14.5,30,294.247,1,5.308023222
0.01,5.99,34.99,0,0,14.5,30,308.6450892,2.298,5.261199674
0.01,5.99,31.93,0,0,14.5,30,271.441,1.348,4.398261995
0.01,5.99,30.37,0,0,14.5,30,445.983055,0.862,4.415278165
0.01,5.99,42.34,0,0,14.5,30,440.54,2.417221,4.004463311
0.01,5.99,40.61,0,0,14.5,30,338.539,4.455,3.813450382
0.01,5.99,40.36,0,0,14.5,30,229.787,3.471,3.773938175
0.01,5.99,36.11,0,0,14.5,30,370.789,1.8,3.644008758
0.01,5.99,50.39,0,0,14.5,30,996.43,2.417221,4.127504478
0.01,5.99,34.34,0,0,14.5,30,308.6450892,2.509,4.008370909
0.01,5.99,16.32,0,0,14.5,30,308.6450892,3.08,5.051757045
0.01,5.99,14.73,0,0,14.5,30,298.68,2.966,5.593255268
0.01,6.22,17.92,0,0,0,90,207.469,2.417221,4.904339274
0.01,6.54,17.37,0,0,0,90,208.71,3.56,4.907302455
0.01,6.54,27.21,0,0,0,90,205.78,3.4,5.353708482
0.01,6.54,18.52,0,0,0,90,192.05,3.2,5.662411986
0.01,6.54,18.79,0,0,0,90,207.469,3.92,4.783722849
0.01,6.54,3.53,0,0,0,90,348.69,3.08,6.101562851
0.01,6.54,22.5,0,0,0,90,345.419,2.417221,5.043614725
0.01,6.54,11.67,0,0,0,90,207.469,2.417221,5.882832837
0.01,6.54,26.11,0,0,0,90,191.14,2.417221,4.90736772
0.01,6.54,6.56,0,0,0,90,362.38,2.417221,6.676268695
0.01,6.54,13.47,0,0,0,90,193.67,3.32,5.331114855
0.01,6.54,24.1,0,0,0,90,207.469,2.417221,5.244097869
0.01,6.93,41.88,1,0,3.8,70,391.91,1.62,4.534833957
0.01,6.93,43.23,1,0,3.8,70,133.11,1.62,5.497735798
0.01,6.93,52.68,1,0,3.8,70,271.06,1.62,5.105227489
0.01,6.93,52.53,1,0,3.8,70,517.06,1.26,4.310083261
0.01,6.93,41.86,1,0,3.8,70,415.27,1.62,4.758064966
0.01,6.93,41.03,1,0,3.8,70,449.64,1.62,4.714380581
0.01,6.93,24.57,1,0,3.8,70,239.69,1.62,5.02371958
0.01,6.93,71,1,0,3.8,70,190,1.62,5.478001799
0.01,6.93,20.26,1,0,3.8,70,488.77,1.62,5.456288609
0.01,6.93,20.26,1,0,3.8,70,488.77,1.62,4.229285422
0.01,6.93,10.72,1,0,3.8,70,376.073,1.1,6.252378227
